DATE,TMIN,TAVG,TMAX,PRCP,SNOW,WDIR,WSPD,WPGT,PRES,TSUN
2023-07-13,23 °C,28.2 °C,34 °C,24 mm,—,,10.9 km/h,—,1008.3 hPa,—
2023-07-14,25 °C,28.3 °C,33 °C,56.1 mm,—,,11 km/h,—,1008 hPa,—
2023-07-15,25 °C,29.4 °C,33 °C,17 mm,—,,12.8 km/h,—,1006.5 hPa,—
2023-07-16,24 °C,27.3 °C,33 °C,10 mm,—,,15 km/h,—,1004.9 hPa,—
2023-07-17,26 °C,27.3 °C,31 °C,10.8 mm,—,,21.5 km/h,—,1004.7 hPa,—
2023-07-18,26 °C,27.9 °C,32 °C,12 mm,—,,20.9 km/h,—,1005.6 hPa,—
2023-07-19,26 °C,28 °C,33 °C,16.2 mm,—,,16.7 km/h,—,1005.5 hPa,—
2023-07-20,25 °C,26.3 °C,30 °C,14.7 mm,—,,11 km/h,—,1006.2 hPa,—
2023-07-21,24 °C,26.6 °C,29 °C,11.9 mm,—,,8.9 km/h,—,1007.9 hPa,—
2023-07-22,25 °C,27.2 °C,31 °C,11.5 mm,—,,8.8 km/h,—,1009.5 hPa,—
2023-07-23,25 °C,27.1 °C,30 °C,12.1 mm,—,,10.8 km/h,—,1009.3 hPa,—
2023-07-24,25 °C,26.9 °C,30 °C,11.9 mm,—,,13.8 km/h,—,1008.2 hPa,—
2023-07-25,25 °C,27.4 °C,33 °C,8.8 mm,—,,15.7 km/h,—,1008.4 hPa,—
2023-07-26,25 °C,28.3 °C,34 °C,15.2 mm,—,,14.4 km/h,—,1008 hPa,—
2023-07-27,26 °C,27.8 °C,31 °C,26.5 mm,—,,17.3 km/h,—,1006.9 hPa,—
2023-07-28,24 °C,28.2 °C,33 °C,18.2 mm,—,,18.4 km/h,—,1005.5 hPa,—
2023-07-29,25 °C,28.1 °C,31 °C,13.3 mm,—,,20 km/h,—,1006.2 hPa,—
2023-07-30,27 °C,28.1 °C,30 °C,19.2 mm,—,,18.1 km/h,—,1007.6 hPa,—
2023-07-31,27 °C,28.3 °C,32 °C,6.6 mm,—,,17 km/h,—,1008.5 hPa,—
2023-08-01,25 °C,29.2 °C,33 °C,10.8 mm,—,,13.5 km/h,—,1008.2 hPa,—
2023-08-02,27 °C,29 °C,33 °C,9.2 mm,—,,18.1 km/h,—,1008.5 hPa,—
2023-08-03,27 °C,28.7 °C,33 °C,3 mm,—,,17.7 km/h,—,1009.3 hPa,—
2023-08-04,27 °C,29.1 °C,34 °C,0.4 mm,—,,16.4 km/h,—,1011.3 hPa,—
2023-08-05,27 °C,29.2 °C,34 °C,4 mm,—,,15.8 km/h,—,1011.5 hPa,—
2023-08-06,26 °C,29.7 °C,33 °C,7.6 mm,—,,19.9 km/h,—,1009.5 hPa,—
2023-08-07,26 °C,30 °C,34 °C,0.4 mm,—,,18.7 km/h,—,1008.5 hPa,—
2023-08-08,27 °C,29.9 °C,34 °C,3.7 mm,—,,18.4 km/h,—,1009.3 hPa,—
2023-08-09,27 °C,30.3 °C,35 °C,3.2 mm,—,,18.6 km/h,—,1010.1 hPa,—
2023-08-10,27 °C,30.2 °C,35 °C,0.2 mm,—,,15 km/h,—,1009.3 hPa,—
2023-08-11,27 °C,30.4 °C,35 °C,1.7 mm,—,,19.3 km/h,—,1008.4 hPa,—
2023-08-12,27 °C,30.6 °C,35 °C,7.2 mm,—,,19.9 km/h,—,1008 hPa,—
2023-08-13,26 °C,29.2 °C,35 °C,3.8 mm,—,,17.4 km/h,—,1007.9 hPa,—
2023-08-14,27 °C,29.6 °C,35 °C,6.8 mm,—,,14.2 km/h,—,1008.3 hPa,—
2023-08-15,27 °C,29.6 °C,33 °C,9.6 mm,—,,18.2 km/h,—,1009 hPa,—
2023-08-16,27 °C,29.2 °C,33 °C,2.8 mm,—,,14 km/h,—,1009.3 hPa,—
2023-08-17,26 °C,28.2 °C,34 °C,11.7 mm,—,,11.6 km/h,—,1008.4 hPa,—
2023-08-18,26 °C,28.6 °C,34 °C,16.9 mm,—,,9.6 km/h,—,1007.3 hPa,—
2023-08-19,26 °C,28.3 °C,33 °C,14.3 mm,—,,9.6 km/h,—,1006.8 hPa,—
2023-08-20,25 °C,27.5 °C,32 °C,15.5 mm,—,,11.1 km/h,—,1007.5 hPa,—
2023-08-21,26 °C,29.1 °C,33 °C,4 mm,—,,11.8 km/h,—,1008.4 hPa,—
2023-08-22,26 °C,28.8 °C,34 °C,3.8 mm,—,,11.7 km/h,—,1008.6 hPa,—
2023-08-23,27 °C,29.6 °C,35 °C,0 mm,—,,14.6 km/h,—,1008.3 hPa,—
2023-08-24,26 °C,29.7 °C,34 °C,2.1 mm,—,,15.7 km/h,—,1008.4 hPa,—
2023-08-25,27 °C,30.7 °C,35 °C,8.9 mm,—,,13.8 km/h,—,1008 hPa,—
2023-08-26,27 °C,29.6 °C,34 °C,14.5 mm,—,,16.3 km/h,—,1008.2 hPa,—
2023-08-27,25 °C,28.9 °C,34 °C,15.5 mm,—,,13.3 km/h,—,1007.4 hPa,—
2023-08-28,26 °C,29.5 °C,34 °C,15.8 mm,—,,14 km/h,—,1006.2 hPa,—
2023-08-29,24 °C,28.6 °C,34 °C,6.1 mm,—,,16.2 km/h,—,1006.2 hPa,—
2023-08-30,25 °C,27.3 °C,31 °C,23.2 mm,—,,7.7 km/h,—,1007.7 hPa,—
2023-08-31,25 °C,27.6 °C,31 °C,10.4 mm,—,,14.3 km/h,—,1007.7 hPa,—
2023-09-01,26 °C,27.9 °C,32 °C,10.7 mm,—,,14.3 km/h,—,1007.3 hPa,—
2023-09-02,26 °C,27.9 °C,31 °C,9.3 mm,—,,20 km/h,—,1006 hPa,—
2023-09-03,26 °C,27.8 °C,31 °C,11 mm,—,,14 km/h,—,1005.1 hPa,—
2023-09-04,26 °C,28.3 °C,31 °C,10.9 mm,—,,19.6 km/h,—,1005.3 hPa,—
2023-09-05,26 °C,27.7 °C,31 °C,15.9 mm,—,,17 km/h,—,1007.3 hPa,—
2023-09-06,26 °C,29.1 °C,33 °C,5.4 mm,—,,9.3 km/h,—,1008.5 hPa,—
2023-09-07,26 °C,28.8 °C,32 °C,10 mm,—,,9.2 km/h,—,1008.6 hPa,—
2023-09-08,24 °C,27.4 °C,34 °C,12.4 mm,—,,9.7 km/h,—,1008.6 hPa,—
2023-09-09,25 °C,27.6 °C,31 °C,7.8 mm,—,,6.9 km/h,—,1007.9 hPa,—
2023-09-10,26 °C,28.1 °C,31 °C,7.3 mm,—,,14.2 km/h,—,1008.8 hPa,—
2023-09-11,24 °C,28.3 °C,31 °C,3.7 mm,—,,13.8 km/h,—,1009.6 hPa,—
2023-09-12,26 °C,27.9 °C,31 °C,8.4 mm,—,,13 km/h,—,1010 hPa,—
2023-09-13,26 °C,28.3 °C,33 °C,0.9 mm,—,,13.7 km/h,—,1009.8 hPa,—
2023-09-14,25 °C,27.5 °C,33 °C,9.2 mm,—,,9.7 km/h,—,1009.2 hPa,—
2023-09-15,25 °C,28.4 °C,31 °C,13.5 mm,—,,16.3 km/h,—,1008.9 hPa,—
2023-09-16,26 °C,28 °C,31 °C,12.9 mm,—,,10.7 km/h,—,1009.3 hPa,—
2023-09-17,24 °C,27.5 °C,33 °C,26.4 mm,—,,6.8 km/h,—,1009 hPa,—
2023-09-18,25 °C,29.3 °C,34 °C,9.4 mm,—,,5.5 km/h,—,1009.7 hPa,—
2023-09-19,25 °C,30.1 °C,35 °C,9.2 mm,—,,6.8 km/h,—,1010 hPa,—
2023-09-20,25 °C,28.7 °C,34 °C,3.9 mm,—,,6.9 km/h,—,1009.1 hPa,—
2023-09-21,25 °C,27.9 °C,33 °C,19.3 mm,—,,4.9 km/h,—,1009.4 hPa,—
2023-09-22,25 °C,27.8 °C,32 °C,15.7 mm,—,,7.2 km/h,—,1008.7 hPa,—
2023-09-23,25 °C,27.4 °C,32 °C,4.6 mm,—,,6.1 km/h,—,1008.9 hPa,—
2023-09-24,25 °C,27.4 °C,33 °C,18.7 mm,—,,9.2 km/h,—,1007.2 hPa,—
2023-09-25,25 °C,27.9 °C,32 °C,10.7 mm,—,,12.3 km/h,—,1006 hPa,—
2023-09-26,26 °C,27 °C,31 °C,11.5 mm,—,,17.2 km/h,—,1007 hPa,—
2023-09-27,25 °C,27 °C,31 °C,24 mm,—,,11.7 km/h,—,1008.5 hPa,—
2023-09-28,25 °C,28.9 °C,33 °C,2.2 mm,—,,7.5 km/h,—,1009.9 hPa,—
2023-09-29,27 °C,29.1 °C,34 °C,21.6 mm,—,,8.3 km/h,—,1010.9 hPa,—
2023-09-30,24 °C,26.9 °C,30 °C,7.9 mm,—,,11.4 km/h,—,1010.8 hPa,—
2023-10-01,24 °C,27.1 °C,31 °C,24.4 mm,—,,7.8 km/h,—,1008.9 hPa,—
2023-10-02,25 °C,25.7 °C,27 °C,46.6 mm,—,,5.4 km/h,—,1009.6 hPa,—
2023-10-03,24 °C,27.4 °C,30 °C,5.2 mm,—,,10.3 km/h,—,1010 hPa,—
2023-10-04,26 °C,28.4 °C,32 °C,8.6 mm,—,,10.6 km/h,—,1009.8 hPa,—
2023-10-05,25 °C,28.2 °C,32 °C,10.8 mm,—,,7.5 km/h,—,1009.4 hPa,—
2023-10-06,25 °C,28.2 °C,34 °C,15.6 mm,—,,8.5 km/h,—,1009.5 hPa,—
2023-10-07,25 °C,28.6 °C,33 °C,9.4 mm,—,,7 km/h,—,1010.4 hPa,—
2023-10-08,26 °C,28.9 °C,34 °C,2.1 mm,—,,7.2 km/h,—,1011.4 hPa,—
2023-10-09,25 °C,29 °C,33 °C,0 mm,—,,8.9 km/h,—,1011.2 hPa,—
2023-10-10,24 °C,28.4 °C,32 °C,7 mm,—,,5.6 km/h,—,1010.5 hPa,—
2023-10-11,26 °C,29.8 °C,35 °C,12.1 mm,—,,7.6 km/h,—,1010.6 hPa,—
2023-10-12,25 °C,28.7 °C,34 °C,5 mm,—,,8.5 km/h,—,1011.7 hPa,—
2023-10-13,25 °C,27.8 °C,31 °C,3.7 mm,—,,5.4 km/h,—,1011 hPa,—
2023-10-14,26 °C,28.8 °C,33 °C,2.4 mm,—,,5.5 km/h,—,1009.2 hPa,—
2023-10-15,25 °C,28.3 °C,33 °C,6 mm,—,,5.8 km/h,—,1008.3 hPa,—
2023-10-16,25 °C,27.3 °C,30 °C,37.6 mm,—,,4.8 km/h,—,1009.4 hPa,—
2023-10-17,25 °C,28.3 °C,33 °C,24.2 mm,—,,9.3 km/h,—,1010.2 hPa,—
2023-10-18,26 °C,28.9 °C,34 °C,11.9 mm,—,,6.4 km/h,—,1010.9 hPa,—
2023-10-19,24 °C,28.7 °C,33 °C,9.6 mm,—,,6.6 km/h,—,1010.9 hPa,—
2023-10-20,24 °C,28.5 °C,33 °C,5.6 mm,—,,8.2 km/h,—,1010.9 hPa,—
2023-10-21,26 °C,28.1 °C,32 °C,10.6 mm,—,,5.9 km/h,—,1012.1 hPa,—
2023-10-22,25 °C,27.9 °C,33 °C,3.6 mm,—,,5.1 km/h,—,1012.3 hPa,—
2023-10-23,24 °C,26.8 °C,33 °C,12.4 mm,—,,6.1 km/h,—,1012 hPa,—
2023-10-24,24 °C,27.9 °C,33 °C,5.5 mm,—,,6.1 km/h,—,1011 hPa,—
2023-10-25,26 °C,27.7 °C,32 °C,8.2 mm,—,,5.7 km/h,—,1011.4 hPa,—
2023-10-26,25 °C,28.2 °C,33 °C,13.4 mm,—,,5.6 km/h,—,1011.7 hPa,—
2023-10-27,25 °C,28.8 °C,34 °C,2.5 mm,—,,5.9 km/h,—,1010.9 hPa,—
2023-10-28,24 °C,27.5 °C,34 °C,6.4 mm,—,,3.9 km/h,—,1010.7 hPa,—
2023-10-29,25 °C,26.6 °C,32 °C,31.2 mm,—,,5.1 km/h,—,1010.4 hPa,—
2023-10-30,24 °C,27.8 °C,33 °C,3.5 mm,—,,6.2 km/h,—,1010.2 hPa,—
2023-10-31,25 °C,27.7 °C,34 °C,2.2 mm,—,,4.1 km/h,—,1010.7 hPa,—
2023-11-01,25 °C,28.4 °C,33 °C,5.3 mm,—,,5 km/h,—,1010.9 hPa,—
2023-11-02,25 °C,28.2 °C,32 °C,13.1 mm,—,,6.1 km/h,—,1010.5 hPa,—
2023-11-03,25 °C,27.8 °C,33 °C,6.2 mm,—,,5.7 km/h,—,1009.3 hPa,—
2023-11-04,24 °C,28.5 °C,33 °C,2 mm,—,,7.7 km/h,—,1009.5 hPa,—
2023-11-05,26 °C,28.8 °C,34 °C,11.1 mm,—,,8.3 km/h,—,1010.6 hPa,—
